"","X1","X2","X3","technology"
"996","Chan, KY, Heenan, DP, So, HB (2003) Sequestration of carbon and changes in soil quality under conservation tillage on light-textured soils in Australia: a review","2003","http://dx.doi.org/10.1071/EA02077","Soil Carbon Sequestration"
"997","Laclau, P (2003) Biomass and carbon sequestration of ponderosa pine plantations and native cypress forests in northwest Patagonia","2003","http://dx.doi.org/10.1016/S0378-1127(02)00580-7","Soil Carbon Sequestration"
"998","Lal, R, Follett, RF, Kimble, JM (2003) Achieving soil carbon sequestration in the United States: A challenge to the policy makers","2003","http://dx.doi.org/10.1097/01.ss.0000106407.84926.6b","Soil Carbon Sequestration"
"1000","Dendoncker, N, Van Wesemael, B, Rounsevell, MDA, Roelandt, C, Lettens, S (2004) Belgium's CO2 mitigation potential under improved cropland management","2004","http://dx.doi.org/10.1016/j.agee.2003.10.010","Soil Carbon Sequestration"
"1004","Lal, R (2004) Carbon sequestration in dryland ecosystems","2004","http://dx.doi.org/10.1007/s00267-003-9110-9","Soil Carbon Sequestration"
"1005","Grace, PR, Antle, J, Ogle, S, Paustian, K, Basso, B (2010) Soil carbon sequestration rates and associated economic costs for farming systems of south-eastern Australia","2010","http://dx.doi.org/10.1071/SR10063","Soil Carbon Sequestration"
"1006","Verchot, LV, Dutaur, L, Shepherd, KD, Albrecht, A (2011) Organic matter stabilization in soil aggregates: Understanding the biogeochemical mechanisms that determine the fate of carbon inputs in soils","2011","http://dx.doi.org/10.1016/j.geoderma.2010.12.017","Soil Carbon Sequestration"
"1007","De Deyn, GB, Shiel, RS, Ostle, NJ, McNamara, NP, Oakley, S, Young, I, Freeman, C, Fenner, N, Quirk, H, Bardgett, RD (2011) Additional carbon sequestration benefits of grassland diversity restoration","2011","http://dx.doi.org/10.1111/j.1365-2664.2010.01925.x","Soil Carbon Sequestration"
"1008","Conant, RT (2011) Sequestration through forestry and agriculture","2011","http://dx.doi.org/10.1002/wcc.101","Soil Carbon Sequestration"
"1009","Watts, JD, Lawrence, RL, Miller, P, Montagne, C (2011) An analysis of cropland carbon sequestration estimates for North Central Monana","2011","http://dx.doi.org/10.1007/s10584-010-0009-1","Soil Carbon Sequestration"
"1010","Zhou, GM, Zhuang, SY, Jiang, PK, Xu, QF, Qin, H, Wong, MH, Cao, ZH (2011) Soil Organic Carbon Accumulation in Intensively Managed Phyllostachys praecox Stands","2011","http://dx.doi.org/10.1007/s12229-011-9071-2","Soil Carbon Sequestration"
"1011","Siangjaeo, S, Gheewala, SH, Unnanon, K, Chidthaisong, A (2011) Implications of land use change on the life cycle greenhouse gas emissions from palm biodiesel production in Thailand","2011","http://dx.doi.org/10.1016/j.esd.2011.01.002","Soil Carbon Sequestration"
"1012","RJ Zomer, DA Bossio, R Sommer, LV Verchot (2017) Global Sequestration Potential of Increased Organic Carbon in Cropland","2017","https://www.nature.com/articles/s41598-017-15794-8","Soil Carbon Sequestration"
"1022","Bauen et al","2004","Bioelectricity vision: achieving 15% of electricity from biomass in OECD countries by 2010","Bioenergy"
"1023","Metzger, JO; Huttermann, A","2009","Sustainable global energy supply based on lignocellulosic biomass from afforestation of degraded areas","Bioenergy"
"1025","Calvin, K; Wise, M; Luckow, P; Kyle, P; Clarke, L; Edmonds, J","2016","Implications of uncertain future fossil energy resources on bioenergy use and terrestrial carbon emissions","Bioenergy"
"1026","Nordstrm, E.-M.","2015","Bioenergy futures: A global outlook on the implications of land use for forest-based feedstock production","Bioenergy"
"1027","Searle, S; Malins, C","2015","A reassessment of global bioenergy potential in 2050","Bioenergy"
"1028","Smeets, EMW; Faaij, APC; Lewandowski, IM; Turkenburg, WC","2007","A bottom-up assessment and review of global bio-energy potentials to 2050","Bioenergy"
"1029","Lauri, P; Havlik, P; Kindermann, G; Forsell, N; Bottcher, H; Obersteiner, M","2014","Woody biomass energy potential in 2050","Bioenergy"
"1030","Hoogwijk, M; Hoogwijk, M; Faaij, A; de Vries, B; Turkenburg, W","2009","Exploration of regional and global cost-supply curves of biomass energy from short-rotation crops at abandoned cropland and rest land under four IPCC SRES land-use scenarios","Bioenergy"
"1031","Hoogwijk, M; Faaij, A; Eickhout, B; de Vries, B; Turkenburg, W","2005","Potential of biomass energy out to 2100, for four IPCCS RES land-use scenarios","Bioenergy"
"1034","Beringer, T; Beringer, T; Lucht, W; Lucht, W; Schaphoff, S","2011","Bioenergy production potential of global biomass plantations under environmental and agricultural constraints","Bioenergy"
"1035","Dornburg, V; van Vuuren, D; van de Ven, G; Langeveld, H; Meeusen, M; Banse, M; van Oorschot, M; Ros, J; van den Born, GJ; Aiking, H; Londo, M; Mozaffarian, H; Verweij, P; Lysen, E; Faaij, A","2010","Bioenergy revisited: Key factors in global potentials of bioenergy","Bioenergy"
"1036","van Vuuren, DP; van Vliet, J; Stehfest, E","2009","Future bio-energy potential under various natural constraints","Bioenergy"
"1041","Gregg, JS; Gregg, JS; Smith, SJ","2010","Global and regional potential for bioenergy from agricultural and forestry residue biomass","Bioenergy"
"1042","Haberl, H; Beringer, T; Bhattacharya, SC; Erb, KH; Hoogwijk, M","2010","The global technical potential of bio-energy in 2050 considering sustainability constraints","Bioenergy"
"1046","Hakala, K; Kontturi, M; Pahkala, K","2009","Field biomass as global energy source","Bioenergy"
"1047","Moreira, J.R.","2006","Global biomass energy potential","Bioenergy"
"1048","Haberl, H; Erb, KH; Krausmann, F; Bondeau, A; Lauk, C; Muller, C; Plutzar, C; Steinberger, JK; Steinberger, JK","2011","Global bioenergy potentials from agricultural land in 2050: Sensitivity to climate change, diets and yields","Bioenergy"
"1052","Smeets, EMW; Faaij, APC","2007","Bioenergy potentials from forestry in 2050 - An assessment of the drivers that determine the potentials","Bioenergy"
"1053","Obersteiner, M.; Alexandrov, G.; BenÃ­tez, P.C.; McCallum, I.; Kraxner, F.; Riahi, K.; Rokityanskiy, D.; Yamagata, Y.","2006","Global supply of biomass for energy and carbon sequestration from afforestation/reforestation activities","Bioenergy"
"1054","Berndes, G; Hoogwijk, M; van den Broek, R","2003","The contribution of biomass in the future global energy supply: a review of 17 studies","Bioenergy"
"1056","Fischer, G; Fischer, G; Schrattenholzer, L; Schrattenholzer, L","2001","Global bioenergy potentials through 2050","Bioenergy"
"1057","Erb, KH; Haberl, H; Plutzar, C","2012","Dependency of global primary bioenergy crop potentials in 2050 on food systems, yields, biodiversity conservation and political stability","Bioenergy"
"1058","Rogner et al","2012","Chapter 7 - energy resources and potentials. In: Global Energy assessment - Toward a Sustainable future","Bioenergy"
"1059","Yamamoto, H; Fujino, J; Yamaji, K","2001","Evaluation of bioenergy potential with a multi-regional global-land-use-and-energy model","Bioenergy"
"1060","Thraen","2010","Global biomass potentials – resources, drivers and scenario results","Bioenergy"
"1062","Battjes","1994","Global options for biofuels from plantations according to IMAGE simulations","Bioenergy"
"1063","Cornelissen et al","2012","the role of bioenergy in a fully sustainable global energy system","Bioenergy"
"1068","Haberl et al","2013","Bioenergy: how much can we expect for 2050?","Bioenergy"
"1072","Smith","2012","Global bioenergy capacity as constrained by observed biospheric productivity rates","Bioenergy"
"1073","Tokimatsu et al 2017 Global","2017","Global zero emissions scenarios: the role of biomass energy with carbon capture and storage by forested land use","Bioenergy"
"1079","Alexander Popp & Steven K. Rose & Katherine Calvin &
Detlef P. Van Vuuren & Jan Phillip Dietrich &
Marshall Wise & Elke Stehfest & Florian Humpenöder &
Page Kyle & Jasper Van Vliet & Nico Bauer &
Hermann Lotze-Campen & David Klein & Elmar Kriegler","2013","Land-use transition for bioenergy and climate stabilization:
model comparison of drivers, impacts and interactions
with other land use based mitigation options","Bioenergy"
"1081","Erb, Karl-Heinz, Andreas Mayer, Fridolin Krausmann, Christian Lauk, Christoph Plutzar, Julia Steinberger, Helmut Haberl","2012","The interrelations of future global bioenergy potentials, food demand and agricultural technology. In: Gasparatos, Alexandros and Per Stromberg (eds.). Socioeconomic and environmental impacts of biofuels: Evidence from developing nations.","Bioenergy"
"1082","Popp","2011","The economic potential of bioenergy for climate change mitigation with special attention given to implications for the land system","Bioenergy"
"1083","Klein","2014","The global economic long-term potential of modern biomass in a climate-constrained world","Bioenergy"
"1084","Deng, YY; Koper, M; Haigh, M; Dornburg, V","2015","Country-level assessment of long-term global bioenergy potential","Bioenergy"
"1089","Ahamer","1996","Biomass energy production: the Global Potential and the Net Influence on the CO2 Concentration","Bioenergy"
"1090","Daioglou, V; Daioglou, V; Wicke, B; Faaij, APC; Van Vuuren, DP; Van Vuuren, DP","2015","Competing uses of biomass for energy and chemicals: implications for long-term global CO2 mitigation potential","Bioenergy"
"1093","Yamamoto, H; Yamamoto, H; Yamaji, K; Yamaji, K; Fujino, J; Fujino, J","1999","Evaluation of bioenergy resources with a global land use and energy model formulated with SD technique","Bioenergy"
"1095","Yamamoto, H; Yamaji, K; Fujino, J","2000","Scenario analysis of bioenergy resources and CO2 emissions with a global land use and energy model","Bioenergy"
"1096","Wolf, J; Bindraban, PS; Luijten, JC; Vleeshouwers, LM","2003","Exploratory study on the land area required for global food supply and the potential global production of bioenergy","Bioenergy"
"1107","Field","2008","Biomass energy: the scale of the potential resource","Bioenergy"
"1108","Campbell, JE; Campbell, JE; Lobell, DB; Genova, RC; Field, CB","2008","The global potential of bioenergy on abandoned agriculture lands","Bioenergy"
"1110","Gross, R.; Slade and Bauen","2014","Global bioenergy resources","Bioenergy"
"1115","Mendu, V; Shearin, T; Campbell, JE; Campbell, JE; Stork, J; Jae, J; Crocker, M; Huber, G; DeBolt, S","2012","Global bioenergy potential from high-lignin agricultural residue","Bioenergy"
"1116","Wicke, B; Wicke, B; Wicke, B; Smeets, E; Smeets, E; Smeets, E; Dornburg, V; Dornburg, V; Dornburg, V; Vashev, B; Vashev, B; Vashev, B; Gaiser, T; Gaiser, T; Gaiser, T; Turkenburg, W; Turkenburg, W; Turkenburg, W; Faaij, A; Faaij, A; Faaij, A","2011","The global technical and economic potential of bioenergy from salt-affected soils","Bioenergy"
"1117","Nijsen, M; Smeets, E; Stehfest, E; van Vuuren, DP","2012","An evaluation of the global potential of bioenergy production on degraded lands","Bioenergy"
"1118","Hoogwijk, M; Faaija, A; van den Broek, R; Berndes, G; Gielen, D; Turkenburg, W","2003","Exploration of the ranges of the global potential of biomass for energy","Bioenergy"
"1126","Kirschbaum, MUF","2017","Assessing the merits of bioenergy by estimation marginal climate-change impacts","Bioenergy"
"1127","Vera Heck, Dieter Gerten, Wolfgang Lucht, Lena R.Boysen","2016","Is extensive terrestrial carbon dioxide removal a ""green"" form of geoengineering? A global modelling study","Bioenergy"
"1128","Torun Hammar, Niclas Ericsson, Cecilia Sundberg & Per-Anders Hansson","2014","Climate Impact of Willow Grown for Bioenergy in Sweden","Bioenergy"
"1129","Alexander Popp, Michael Krause, Jan Philipp Dietrich, Hermann Lotze-Campen, Marian Leimbach,
Tim Beringer, Nico Bauer","2012","Additional CO2 emissions from land use change -- Forest conservation as a  precondition for sustainable production of second generation bioenergy","Bioenergy"
"1130","Dooley, J.J.; Dahowski, R.T.; Davidson, C.L.; Bachu, S.; Gupta, N.; Gale, J.","2005","A CO2-storage supply curve for North America and its implications for the deployment of carbon dioxide capture and storage systems","Storage"
"1131","Ormerod","1993","An Overview of large scale CO2 disposal options","Storage"
"1132","Vangkilde-Peterson et al","2009","Assessing European capacity for geological storage of carbon dioxide-the EU GeoCapacity project","Storage"
"1133","Selosse, S; Ricci, O","2017","Carbon capture and storage: Lessons from a storage potential and localization analysis","Storage"
"1150","Shogenova, A.; Shogenov, K.; Vahera, R.; Ivask, J.; Sliaupa, S.; Vangkilde-Pedersen, T.; Uibue, M.; Kuusik, R.","2011","CO2 geological storage capacity analysis in Estonia and neighbouring regions","Storage"
"1151","Anthonsen, K.L.; Aagaard, P.; Bergmo, P.E.S.; ErlstrÃ¶m, M.; Fareide, J.I.; Gislason, S.R.; Mortensen, G.M.; SnÃ¦bjÃ¶rnsdottir, S.Ã“.","2013","CO2 storage potential in the Nordic region","Storage"
"1152","Wildenborg, T.; Gale, J.; Hendriks, C.; Holloway, S.; Brandsma, R.; Kreft, E.; Lokhorst, A.","2005","Cost curves for CO2 storage: European sector","Storage"
"1153","Vangkilde-Peterson et al","2009","GeoCapacity Final Report Assessing European Capacity for Geological Storage of Carbon dioxide","Storage"
"1155","Wright, R.; Mourits, F.; RodrÃ­guez, L.B.; Serrano, M.D.","2013","The first North American carbon storage atlas","Storage"
"1157","HENDRIKS, CA; BLOK, K","1995","UNDERGROUND-STORAGE OF CARBON-DIOXIDE","Storage"
"1161","Li, X.; Wei, N.; Liu, Y.; Fang, Z.; Dahowski, R.T.; Davidson, C.L.","2009","CO2 point emission and geological storage capacity in China","Storage"
"1162","Liu, Y.; Li, X.","2009","Primary estimation of capacity of CO2 geological storage in China","Storage"
"1163","Movagharnejad, K; Emamgholivand, A; Mousavi, H; Kordkheili, MS","2012","Preliminary country-scale assessment of carbon dioxide storage potential in Iran","Storage"
"1183","Godec, M.; Koperna, G.; Gale, J.","2014","CO2-ECBM: A review of its status and global potential","Storage"
"1185","IEAGHG - PH3-22","2000","Barriers to overcome the implementation of CO2 capture and storage - Storage in disused oil and gas fields","Storage"
"1199","IEAGHG","2009","CO2 storage in depleted Gas fields","Storage"
"1207","Gale and Freund","2001","Coal-bed methane enhancement with CO2 sequestration worldwide potential","Storage"
"1214","Vello A. Kuuskraa, Charles M. Boyer II, Jonathan A Kelafant","1992","COALBED GAS-1 HUNT FOR QUALITY BASINS GOES ABROAD","Storage"
"1217","Dooley, J.J.","2013","Estimating the supply and demand for deep geologic CO2 storage capacity over the course of the 21st Century: A meta-analysis of the literature","Storage"
"1224","Gunter, Wong, Cheel, Sjostrom","1998","Large CO2 Sinks: Their role in the mitigation of greenhouse gases from an international, national (Canadian) and provincial (Alberta) perspective","Storage"
"1232","Holloway, S.; Garg, A.; Kapshe, M.; Deshpande, A.; Pracha, A.S.; Khan, S.R.; Mahmood, M.A.; Singh, T.N.; Kirk, K.L.; Gale, J.","2009","An assessment of the CO2 storage potential of the Indian subcontinent","Storage"
"1233","Koide et al","1992","Subterranean containment and long-term storage of carbon dioxide in unused aquifers and in depleted natural gas reservoirs","Storage"
"1236","Grimston, MC; Karakoussis, V; Fouquet, R; van der Vorst, R; Pearson, P; Leach, M","2001","The European and global potential of carbon dioxide sequestration in tackling climate change","Storage"
"1263","IPCC","2005","Underground Geological Storage in SRCCS","Storage"
"1275","Bentham, M; Kirby, G","2005","CO2 storage in saline aquifers","Storage"
"1278","Shogenova, A.; Sliaupa, S.; Shogenov, K.; Vaher, R.; Sliaupiene, R.","2007","Geological storage of CO2 - Prospects in the Baltic States","Storage"
"1290","Shogenova, A; Sliaupa, S; Sliaupa, S; Vaher, R; Shogenov, K; Pomeranceva, R","2009","The Baltic Basin: structure, properties of reservoir rocks, and capacity for geological storage of CO2","Storage"
